zip3,latitude,longitude,zcta_count
287,35.503149,-82.826100,75
288,35.584286,-82.549359,5
289,35.095682,-83.966668,6
290,34.005809,-80.813373,49
291,33.924628,-80.903692,47
292,34.043240,-80.972892,13
293,34.780169,-81.863018,45
294,33.052026,-80.108354,57
295,34.061206,-79.497142,57
296,34.612786,-82.564965,65
297,34.834412,-80.934290,25
298,33.530106,-81.740869,35
299,32.562549,-80.971371,31
300,33.848835,-84.065553,62
301,34.037466,-84.909313,57
302,33.241702,-84.544025,56
303,33.772444,-84.421723,40
304,32.488225,-82.106594,43
305,34.581499,-83.803109,63
306,33.855511,-83.137121,44
307,34.707511,-85.108598,32
308,33.348939,-82.341299,22
309,33.410327,-82.018971,7
310,32.632234,-83.408881,84
312,32.841795,-83.636863,10
313,31.902533,-81.462645,24
314,32.033117,-81.148709,12
315,31.352230,-82.221678,47
316,30.993477,-83.158112,31
317,31.481133,-83.863159,52
318,32.449875,-84.686993,27
319,32.440849,-84.897464,7
320,30.216829,-82.398449,46
321,29.361884,-81.504169,45
322,30.304940,-81.703802,37
323,30.285074,-84.152377,43
324,30.553415,-85.561986,43
325,30.738610,-86.971837,41
326,29.569604,-82.609511,43
327,28.793701,-81.264387,44
328,28.479938,-81.284214,34
329,27.952103,-80.684374,34
330,25.524277,-80.681647,51
331,25.701539,-80.438943,63
333,26.154768,-80.315825,28
334,26.664497,-80.683020,57
335,28.201388,-82.223229,44
336,28.016271,-82.454561,27
337,27.857705,-82.722904,39
338,27.736109,-81.645410,52
339,26.769550,-81.679386,49
341,26.135095,-81.305166,24
342,27.295014,-82.140901,48
344,29.022277,-82.359051,34
346,28.416915,-82.525951,33
347,28.285248,-81.386633,32
349,27.332104,-80.709544,22
350,33.459865,-86.677419,57
351,33.449698,-86.540894,42
352,33.501712,-86.773223,31
354,33.068902,-87.852919,34
355,33.952669,-87.707245,41
356,34.670068,-87.400738,37
357,34.758732,-86.279700,32
358,34.692829,-86.592970,11
359,34.269375,-85.928480,39
360,32.079622,-86.091370,57
361,32.322180,-86.271686,16
362,33.512972,-85.644198,28
363,31.336427,-85.553596,34
364,31.372768,-86.965384,32
365,31.058589,-87.952618,60
366,30.690965,-88.203644,21
367,32.306252,-87.353269,44
368,32.607856,-85.401960,27
369,32.131370,-88.247424,13
370,36.084675,-86.968154,64
371,36.002339,-86.648064,47
372,36.129613,-86.836611,23
373,35.317868,-85.353002,77
374,35.072606,-85.303539,16
376,36.354045,-82.292958,33
377,36.084045,-83.819832,48
378,36.096241,-83.831382,58
379,35.967392,-83.965162,19
380,35.542260,-89.416595,50
381,35.115252,-89.960664,31
382,36.298276,-88.685439,28
383,35.601544,-88.510455,61
384,35.341146,-87.355811,34
385,36.174418,-85.330671,47
386,34.576821,-89.746304,53
387,33.531169,-90.801447,40
388,34.351566,-88.633639,41
389,33.779279,-89.897302,37
390,32.498751,-90.109000,36
391,32.343628,-90.322681,43
392,32.313178,-90.199163,17
393,32.425547,-88.806432,40
394,31.241660,-89.260514,36
395,30.596206,-89.015339,28
396,31.314585,-90.668266,26
397,33.525334,-88.868023,30
398,31.321776,-84.667620,31
400,38.052592,-85.291005,49
401,37.846002,-86.186440,31
402,38.182728,-85.654743,34
403,38.057444,-84.224185,40
404,37.527265,-84.399637,25
405,38.041150,-84.451998,16
406,38.234919,-84.868786,1
407,36.930093,-84.131777,11
408,36.892109,-83.257827,37
409,36.961973,-83.708488,30
410,38.647598,-84.316875,53
411,38.376293,-83.067023,27
412,37.897771,-82.685018,29
413,37.566408,-83.462081,19
414,37.841297,-83.180904,6
415,37.458423,-82.401963,38
416,37.542084,-82.771075,34
417,37.236759,-83.238350,33
418,37.207557,-82.885295,33
420,36.900312,-88.556408,48
421,36.887648,-86.083821,28
422,36.940449,-87.103608,30
423,37.514362,-87.016483,40
424,37.459518,-87.697493,28
425,37.152095,-84.705174,14
426,36.806427,-84.813533,12
427,37.316491,-85.730702,34
430,40.201334,-82.912763,62
431,39.678047,-82.993145,46
432,39.988454,-82.984184,30
433,40.550227,-83.387615,40
434,41.417320,-83.300264,43
435,41.457773,-84.218319,53
436,41.659995,-83.538881,17
437,39.846894,-81.662006,56
438,40.260974,-81.884508,17
439,40.247391,-80.901618,55
440,41.548351,-81.286191,57
441,41.419730,-81.666710,48
442,41.121735,-81.608769,44
443,41.077749,-81.552025,18
444,41.087814,-80.777802,52
445,41.067877,-80.663764,13
446,40.650565,-81.532310,72
447,40.821864,-81.365928,14
448,41.009410,-82.752971,56
449,40.745191,-82.549161,7
450,39.435395,-84.466087,33
451,39.152599,-83.834660,48
452,39.180772,-84.474916,46
453,39.971941,-84.301306,77
454,39.749664,-84.176837,30
455,39.977323,-83.867871,6
456,38.971551,-82.855205,64
457,39.353182,-81.786537,47
458,40.825597,-84.230053,82
460,40.169505,-86.135464,44
461,39.618510,-86.175591,62
